clean_text,label
دي نسخ اوضح من معصر علي واب شروق باذن الل كره يوم اجازت هانزل لكم مساء مقتطف منه زي اسبوع الل فات,OBJ
الل كنت مسافر بعد عيان شكل هاغيب تره عشان جاه صحي مشروع يلم مهم كنت احلم بيه من زمان يبدو انه هيتحققهاغطس شهر كده,OBJ
اسم طلع حرام يا حرام,NEG
اخبار مصر مبار يظهر انصار من شرف غرفت امام مستشف معاد يحيي فيديو,OBJ
دور تدريبي في رمي طوب خصوص اتهام نياب عام لي تحريض علي قتل متظاهر سلمي ساجد امام,OBJ
ان تفقد مال فقد قدت غالي في حيات و ان تفقد شرف و امانت فقد قدت اغليم في حيات لكن اذا قدت امل فقد قدت كل شيء في حيات سوري,OBJ
حاج تفرح,OBJ
غرد صور تصوير تصميم مطر جون خقه اتمن يعجب هلون,OBJ
دعمرو حمزاو رنامج اخر لام ابريل,OBJ
سلف سعيد عبد عظيم قال ان مرس ايه من ايات الل نسي ان الل تعال ارسل الي مصر ايام سيد موس ايات منه جراد قمل ضفادع الدم,NEG
لاغ مباحث انترنت الل يعرف معلوم دي تزم يكون مشار في عملي,OBJ
مفيش نور يتقطع و محدش يقول ده لام احن في دول ماينفعش متقدرش توفر هربت لو قيت رئيس جمهوري,OBJ
سان عرب بين السن زمن ربيع بين ازمن يوم عالم لغه عربي,POS
ورك لك في مولود ادعو الل ان يجمع شمل اسر في يتهم طيب و يجعل من خالد نعم ابن نعم ابو,POS
في قطاع حكوم اعطاء حوافز مشروع صغير متوسط تبن مشروع قوم تعليم محو امي,OBJ
كاتب صحف انور هوار ضيف يوسف حسين في ساد محترم,OBJ
اكتب عبار علي باب قلب راق جهك ضيق مواجه عيد وقت قاس تقاليد قشر,NEUTRAL
هاانذ اجدد عرض مره اخر ولن اكل ولن امل وفي انتظار حمل تشوي اخر انا لها اذن الل,OBJ
اكثر شعور يوجع لما تجوع في بيت مو يتكم,NEG
هاتل اخو اي حاج مش تنو ومش ضمير اخو بعد لمه مش هتلاق غير لوط شياط,NEG
مرت سنت و اكثر علي راق و انت اعدت فقط نصف حقهم افرح انك اعدت بسم وجو اهل ٢٥ مذبح ورسعيد,OBJ
تيتو يلانوف اول سنه تدريب حقق ال نقط ولم يتحدث عنه كثير مورينيو زلي سنه تدريب يلقب ب سبيشل ون حقق ال قالو,OBJ
ميثاق شرف انتخاب وقع علي معظم مرشح دائر هدف بعد عن دعاي سلبي حمل تشهير و دعاي ايجابي برنامج مرشح,OBJ
عايز تكون عضو في حمل مشير سيس سهل جدا ساعد انن نعمل ملي شير سانتخب سيس,POS
شروق مستشار عبدالمجيد محمود يعتزم تقديم استقالت خلال ايام نائب عام,OBJ
ماظ ابد من معاير عداد توحيد تعريف لكل قاطنينالتقدير جزافي ظلم لابد ان تتوقف,NEG
هل يمكن ان نتر ثور تنكسر خوف من ان يستغل اخو نصر صالح ام اجب ان ننصر ثور ثم نحم نصر من استغلال سؤال اوجه جميع,OBJ
من سنن الت تفعل في وضع تشهد وضع يدين علي فخذ يمن علي يمن يسر علي يسر مبسوطت اصابع مضمومت نشر سيرت,OBJ
لام ناس لا يقدم ولا ياخر لام ناس عن نيز مش اكتر,OBJ
هل هنا فرق بين فاشي عسكري فاشي ديني د علاء اسوان يكتب كيف نتحرر من فاشي,OBJ
جمهوري مصر طبيعي جمهوري ديمقراطي حقيقي جمهوري مدني تحم حقوق مواطن و مساوا و عدل,POS
سنن قبل نوم قبل نوم ضع يدك يمن تحت خدك ايمن وقل لهم قني عذاب يوم تبعث عباد ثلاث مرات,OBJ
لا زياد في اسعار بنز و كهرباء سلع غذائي,OBJ
شبشب ابوصباع شبشب كان مضبوط بس صباع كان بير شوي,OBJ
ملتق وسط شهر لال فضل ضيف ساع في ساقي صاو قاع كلم,OBJ
كنت اكر قراء و حولن الي مهوس بها حولت بيت الي معرض كتاب ممتن لك جدا استاذ,POS
دعاء خروج من بيت يقدم رجل يمن بسم الل توكلت علي الل لا حول ولا قوه الا الل ادعي,OBJ
تابعواال نقط قاءمع يوسف حسين دمجد عبد حميد منسق عام جنه شعبي مشارك في اعداد دستور,OBJ
يضرب الرب مصر ضارب شافي نبوء خلاص مصر سوري ظهور منتظر محمد محمود شرط مصري,OBJ
عرض اسبوع الف متابع شوارع فن تتقن نساء ذلك شخص شي ودك تجرب بوح درر عجبن حلو مكه,OBJ
اوع تنس,OBJ
ثور عراقي هروب ضابط استخبار فوج خامس في جهاز مكافح ارهاب مقدم حسين محجوب عبد امير,OBJ
محدش عند ضحك سلف,OBJ
مصطف حسن استغفر ٱللۂ عدد حبٱت ٱلمطر استغفر ٱللۂ عدد ٱلرمل,OBJ
هل يحضر رئيس مخلوع جلس محاكم يوم شارك راي ليل في اخر لام عبر صفحت,OBJ
اسوان ماذ علو اخو رداعل سحل تاه تعريت قتل عشر من قبل عسكر ذين انو متحالف معهم انذا,NEG
مشير سيس يزور كاتدرائي مرقسي يهنئ اخو اقباط عيد قيام مجيد,OBJ
حري تعبير لا تتضمن تحريض علي عنف و فتن طائفي بل هو خطاب راهي,NEG
قصد كان موج كذب اني ما نتش هنا,NEG
محب برنامج يزيدو,POS
مرس فتح علي نفس توح ضنك ذات رئاسي دي ده فيه ناس هيبق يفه شتيم بعد كده,NEG
تشيلس سيدخل تدريب صباح يوم تواجد هازارد و ايتو لويز راميريز بعد غياب امس ولم يتب دخول تير تدريب تش,OBJ
متي نري تحليل سوسيولوجي متعمق يليق هذه اغني تلخيص احوال طريقت فريد في مزج بين حزن عبث,OBJ
ولورز عفركوش يعملو ولو بعض ولو باك,OBJ
لا ابد انا مسرور من لام,POS
عاجل تاجيل محاكم مرس و اخر في قضي احداث اتحادي الي جلس مايو مقبل سوو,OBJ
قاهر حمل امني استهدفت بؤر اجرامي دوائر اقسام شرط مصر قديم معاد دار سلام ميه من,OBJ
انا عايز اعرف هو ايه جني ده مصر ليل,OBJ
حازم عبد عظيم وهو يرد علي علي تويتر ايام حكم مرس يقول جيش يدخل يحل ليس يحكم حازم دلوقت في,OBJ
قعن علي طلب محاسب نائب مصطف كري علي اهان برادع مواطن مصر داخل مجلس اتهام خبان,OBJ
كري قبل مايستقيل خد معا ميكروف بيتبكر متن خد غرض من مجلس,NEG
عمرو سلام لما اعمل يلم اخد موافق مين,OBJ
علاء اسوان يرو عن شباب ثور مصري ما انوش فار قبل ما يحكم اخو مقال امل,OBJ
كامل احترام ل عباس الل مسك سان وما شتمش,POS
يوم سابع استاذ ب حقوق قاهر تشرفت تدريس رئيس عدل منصور,OBJ
خلق جميل نقول حمد لله علي كل حاج لان ربن مش يعمل حاج حشه ابد,POS
سبع دروس مستفاد خرج بها من حلق دردش تيوب الت اذيعت احد ماض عن اهتمام شباب عرب علي انترنت,OBJ
مفيش ولد مش بي ب بنات بس فيہ راجل اقتنع ان وا ده بس مگفيا اعقل مجنون,OBJ
مؤتمر دفاع عن دستور يوم احد سبتمبر في ساع مساء ساقي صاو نرجو حضور نشر دعو,OBJ
سخري قدر ان اخو ارهاب حينجحو سيس و دول غباء حتنجح حمد مصر ابريل,NEUTRAL
يبق دائم سؤال لما انت جامد قوي مفترض ان معارض يموتو غيظ شاغل نفس يهم ليه ما تستمتعش حلاو انجازاتكالاجاب انك اشل,NEG
هدف مصر في مرم مني ايهاب مصر في دقيق من مبارا,OBJ
رصد قري خياط محافظ دمياط تحتفل في واحد صباح خروج اثن من,OBJ
اكتر شيء يهمن معرفت هل ده مشروع استقلال حقيق ولا ارت مفاوض في نفس توكيل,NEUTRAL
رصد خاص اولتراس جامع حلو يجوب جامع قبل بدء عالي مولد سيد سيس,OBJ
ج انعت رئيس بعد حشد مذهب طائف رئيس تكفيري منتخب يمتنع تشوي موقف تحويل عبث الي اي شيء غير رفض مذهبي تكفير,NEG
سعد نبيه,OBJ
طفل زملكاو عقب مبارا تروجيت,OBJ
هتاف تتصاعد في محل ضد اعل دستور رئيس مرس,OBJ
ناس ازم تحس ان يونيو جت علي فايد علي مستو اقتصاد اجتماع يوسف حسين نقط قاء مص,POS
اصاب سيد في مشاجر بين شيخ بلد مساعد شرط اسلح ناري ب بني سويف مصر تفاصيل علي,OBJ
خاف نظام منه ضيع عينهكمل تحقيق حلم اعتقلوهخرج و كمل طريق قتلو اسم محسن حكاي ثور,POS
كويت سعودي بحر قطر ا مار عمان عراق مصر تونس جزائر مغرب ا ردن سود بنان,OBJ
اتق ربن فيا زياد حس بيا وزير تربي تعليم ثانوي عام,OBJ
هامش ديمقراطي طيور ظلام اصو ديمقراطي في صحف حول تاريخ عمرو حمزاو واب شروق,OBJ
الل عايز يساعد غزه محتاج جراح مخ اعصاباوعي دمويهعظام سفر معرف اتحاد اطباءالعرب تواصل مع دهشام,OBJ
مقال دعمرو حمزاو جريد وطن مبادر خروج من ازم,OBJ
د ابو فتوح حكوم اسرائيلي تطيل امد صراع مع فلسطيني انه لا يمكن استمرار و تماس دون هذا,NEG
شاهد د جلال امين ضيف اخر لام في محاول شرح ما يحدث مصري الان,OBJ
مع حفظ القاب مني طحاو سامح موريس خالد حنف محمد عدل بسم نادر سيد مصطف سعيد في اخر لام م,OBJ
نهارد في تحقيق استقصائ عبقر عن فساد في بورص في مصر اسف هيتو في زحم احداث,POS
اخير بعد غياب اسابيع يعود قطع نور من جديد نور قطع,OBJ
استمرار حرا طلاب ب جامع منصور مفيش عساكر يحكمو,NEG
يوم انس سور هذه صور اصبحت من ابجد حيا في سوري يبدو ان عالم اعتاد علي فها حمص حلب,OBJ
قري هلال احمر اسوانمرافق امل متكاملهمع ايقاف تشغيل ساد محترم,OBJ
نعتذر عن تاجيل ملتق شهر وسط كان مفترض استضاف مستشار بشر ظروف خاص,OBJ
اكبر معوق خازوق اخذنا كان من اخو انا شايف كده يوم يجب ان نكمل مشوار دون,NEG
راجل تاع امن ينف معدل نفت كل ٧ دقايق تحن شبابي عشان سقع راحت اشتكي مرار تكرار ليه عموم شعب معفن,NEG
هذا هو حال جمهور هلال وهو يناضر جمهور نصر يحتفل كاس نصر هلال,OBJ
حظ عوالم اهل افريق,NEG
اسماء مقدم من وفد امه هي اشخاص انو في محيط داخلي هنا تاكيد تشاب في اسماء هان وقا مقصود اخذ من حول داخلي,OBJ
منهج انقلاب قتل قمع سجن اي معارض اعلام اسد قضاء مسيس ارتفاع اسعار اقتصاد ينهار عزل دولي شحات خليجي,NEG
كلاب اوفياء رجاء عدم اهانت,POS
اسم باش ايه,OBJ
شريع احكام تبت بعد فاه رسول لذل غلط تربط شخص مش خوف لكن حرص علي ان معلوم تكون صح,NEUTRAL
انظر الي خريط افريقي ستجد مثلث له ٣ رؤوس هي مصر مغرب و جنوب افريقي هذه هي بواب ثلاث افريقي اما,OBJ
بنت تقلد مايكل جاكس عل طريق مصري مسخر حط نيز في يلم نيز اعتر,OBJ
قتل اكثر من مصاب في محافظ مختلف هذه مقدم ارثي اقتتال اهل حذرت منه دوم ينبغ رفض مواجهت كل الدم ا,NEG
تيار شعب مصر,OBJ
اصح من نوم افتح ملزم اتنح اقفل ازهق اقوم انام تان ثانوي,OBJ
نفس فيه و تفوو علي يفي عبد,NEG
مصطف جلال اتب علر جدار زنزان امن دول ذكر خالد مصطف جلال صيدل منصور عبث حري طلاب صيدل منصور,OBJ
رسال رقم من جزء اول كتاب رسائل سجين سياس الي حبيبت,OBJ
اعجبن يديو علي صاحب سعاد ابراهيم عيس واقع,POS
الل يبار فيك حمدلل شدو رحال من ندن الي يفربول انو اثق خلف عظيم مورينهو صيعر صحاف اعلام,POS
الان محمد عبد عزيز عضو جنه خمس و مي هبه من مؤسس حمل تمرد ضيوف يوسف حسين في ساد المح,OBJ
لا ده يقولل سور مان اعل حاج ان يقولل عبد بياد وفي نفس جمل يهين جيش,NEG
عن احساس زملكاو لما عمر جابر جاب جول انهرد زمال,OBJ
ذين انتخبو شفيق يسو ضرور لول فلول بساط هم كل من اشتر استفاد من ساد مبار لا يمكن ثور ان تتحالف معهم انه قامت ضدهم,NEG
مصر انقلاب تطالب مقعد دائم دول عربي في مجلس امن ينم مصر عرب في اضعف حال مثل مريض يطالب اتحاد,NEG
كان حي طبق متوسط علي في مصر و ذهب الي كتاب و مثقف مصري حثا عن مزيج نادر يتفق مع طبيعت,POS
شاهدو حلق ٤ من رنامج عمر صانع حضار هذه حلق لم تكن فقط عن هجر عمر بن خطاب لكن كان هنا اكثر من,OBJ
عمال مصر هم عماد وطن تكرار اعتداء علي عمال يؤكد ان دول مبار لم تسقط وان تغيرت وجو,NEG
مستشار قانون محام خبراء في انظم محاما محاما مستشار قان زواج قضاي محام رياض قضي رقم ريتويت ٨,OBJ
صول مسير تضم عدد من نواب شعب منتخب ينهم د عمرو حمزاو عمل فصل بين متظاهر قوات هدف حقن الدم و,OBJ
حب ساد زب بير خليج عمه رعان خليج رياض اسو,OBJ
عرض اسبوع الف متابع اذكار مساء صراح مليت من خد موقف من علمتن حيا حيا تحتاج الي شيئ,OBJ
يا خراش,OBJ
من ترك شيئ لله عوض الل خير منه,OBJ
مصر قوي حدث في مثل هذا يوم ابريل رئيس فرنس شارل ديغول يستقيل من منصب يعلن اعتزال عمل,OBJ
يان ليه حقوق جامع اسكندري شان اعل دستور,OBJ
هات مقشت معا يبد ريق عمل معا نصنع داي جديدهلمصر جديد مجموع من حمل نظاف في,OBJ
لمه تتقال في بيت كل يوم جيت لا هذا استنساخ مني انا ماجيت,OBJ
اول عمر ماكنت محايد انا احد ليا راي ثاني احن نتكلم في احداث تاريخي ايه علاق,OBJ
مناضل حمد صباح سيظل يناضل يناضل حتي يجد نفس محكوم علي اعدام تهم ممارس نضال في مكان عام بكر تشوفو,POS
مقال د علاء اسوان هل نكرر خطا سنهور ينشر غدا جريد مصر يوم,OBJ
انه قضي كل انس في كل زمان و في اي مكان شكل و مضم قضي انس في كل عصور قضي جود,OBJ
محمد محسن في ساقي يوم خميس,OBJ
اوبام يدين انتها حقوق مسلم ب ميانمار امريك اراك خبر,OBJ
انصار حري ديمقراطي في اوروب ضعو شجاع قبل اي شيئ اخر ناد ايطال ينتظر موقف انقلاب من عبد ظاهر,NEUTRAL
مصلح شعب فوق اي سيل,OBJ
معظم اخوا مشاركوش ف هشتااج مسئ سيس بكد يبق اخو اعو مرت مره ف محمد محمود مره ف هشتاج هشتوج,NEG
ربن يبار يكم,POS
علاء اسوان يكتب حوار غاضب في مقر سري ينشر صباح غد ثلاثاء في جريد مصر يوم,OBJ
سكرتير تحرير مصر يوم مواف و عنان يؤسس حزبي خوض انتخاب برطماني اكيد دا خيار مخلل ردع,OBJ
ادعو لنا توفيق ان نحقق حلم الذ كان يراود عن شكل برنامج و حجمهلن يكون مجرد رنامج لكن كره و هدف جديد ربن يستر ٧ و اخير,OBJ
ما فيش خالص فيه اخوان ضمائر اخر لكن مافيش اخو عده اي شيء غير دول سور ق سور اسراء لو قيت قولل,OBJ
استخدام مساجد في عمل سياس نشر عنف,NEG
اذا تم عفو عن مبار نظام هذه رسال من شعب الي رئيس قادم تعال اسرق استبد بنا ذلن كما كان مبار,NEG
مملك جده رياض دمام خبر ينبع شرقي مكه مدين منور سعودي اضي تبو,OBJ
شاهد جول سور الحر درع جول مع امير اقتحام جبه نصر في تل جابي بين جثث غنائم علي,OBJ
تعليم انشاء مدارس تعليم صناع تجار في مدين بدر انشاء دعم مدارس ذوي احتياج خاص تاهيل مشرف علي,OBJ
صور شهيد رضا رمض سنه الت استشهدت رصاص قوات امن انقلاب فيوم انتخبو عرص,NEG
شاهد اخر لام سلاح مقاوم في غزه و تاثيرات,OBJ
مهو لما واحد يصتبح علي جدول امتحان كده مفروض قيت يوم هيبق عامل ازا,NEG
عمر شوفت استفتاء علي دستور يطيح مبادئ دستوري مساوا تكافؤ فرص في قواعد مرحل اقتراع ادارت,NEG
جبه نصر في نوي توزع لحوم علي محتاج رحا انتصار الت تحققت سوري,OBJ
ابوالفتوح ادهو كل مصري ان نتر خلاف علي مسائل سياسي نتفرغ جميع بناء مصر,OBJ
بيع متابع زياد متابع تابعن اتابع سعودي هلال نصر اتحاد اهل اتفاق شباب,OBJ
لا اعتقد,OBJ
افق زير داخلي علي صرف علاو مكافح ارهاب منسوب جواز من ضباط افراد نسب من راتب اول مربوط سعودي,OBJ
ايمان يمحق تهديد سنواصل نضال سلم مع شعب مصر شباب ثائر استكمال ثورت قصاص دماء شهدائ وفاء روح شهيد محمدالجند,POS
تذكر نبيل مصطف نبيل اتب كبير وهو حي يرزق نتمن ان يتذكر احثو اعلام بعد موتهرحم الل,POS
وفي ماني مرر برلم في تشريع يحظر مواقع,OBJ
ماذ يجب ان ترفض مسود دستور انصاص لياليرؤي محترم من عضو حزب مصر قوي,OBJ
سلط قضائي هي وحيد الت تمل الحق في,OBJ
مذاق قهو انا صاح علي صوت ناس تصوت سبب انت مسلسل ابواب خوف,OBJ
هلا مدريد رستيانو رونالدو,OBJ
رشلون ريال مدريد,OBJ
ما راي في حلق امس مع عمرو ليث,OBJ
الم اقل لكم انه ممارس اضح ازدواجي معايير تخو معارض امل ان لا تبتلع بعض قطاع راي عام طعم مجدد,NEG
لما ضحك بنت تعل اعرف ان وجع جوا يكبر,OBJ
لهم ارك لنا في رجب و شعب و لغن رمض لا اقد ولا مفقود لهم امين,OBJ
بواب نيوز زير اعلام تصدر حرك ترق جديد داخل قطاع متخصص مصر ماسبيرو,OBJ
قبض علي قياد اخوان سعد حسين ساد محترم,OBJ
افتح هالقلب علي الي اسكن جوا لمت وبس,OBJ
خيار ديمقراط اختيار بين ان تلبس من كان معك في ميد او تلبس من حاول قتل في ميد تعريف منشور مايو,OBJ
توضيح لعدم تناقل اخبار غير دقيق,OBJ
ايه الل يحصل احن نايم,OBJ
ازا برادع يقول ان هولوكوست ماسا انساني و ان وذا ممكن يكون نبي و ان سلفي متطرف و يطالب عود يهودايهد عصام عري,NEG
من اخر اي حد فيه رمق من معارض يمكن ينزل انتخاب شعب او شور يتقبض علي غاي ما تخلص خارط طريق بعد ربن يسهل,NEG
هيئ طير مدن تمنح اول رخص تشغيل دول من مطار جوف الي قاهر شرك نسم معدل رحل اسبوعي داي من يونيو مقبل تبو,OBJ
الان علي قنا دريم ضيف رنامج توقيت قاهر مع حافظ ميراز,OBJ
ان بي اس اماراتي تقوم ببث دعاء سلامت يا خليف اداء ابراهيم عبيدل بعد كل اذان,OBJ
مميز جول سور الحر درع جول مع امير اقتحام جبه نصر في تل جابي,OBJ
الان خلال تحضير ل حفل مصر قاهر سلم رشيد,OBJ
اسوان هذا لا يوجد فرق بين ارهاب كنيس كاثوليكي في اندلس علي يد راهب ليد ارهاب اسام بن ادن,NEG
اعلام محمد وده يعقد مؤتمر جماهيري غدا مدين زفت حضور فنان غاد عبدالرازق دعم مرشح عبدالفتاح سيس العب ياسيس,POS
صور اكثر مشاهد طفل سور يحمل افت معبر شاهد ماكتب يها شار اسد سوري حمص,OBJ
من يفهم في قان اكثر من فقي دستور دكتور ثروت دوي دكتور عاطف بنا استاذ جمال عيد لهم ايدو قرار رئيس عود برلم,POS
انقلاب اعاد الي عام عيد عن حري ضائع تخلف يزحف علي كل قطاع بكر تشوفو مصر,NEG
عاد هي مش شغلان بس موضوع طيف خفيف ظريف ملي وريز,OBJ
نبض رابع شاهد معتقل مني في قاع محكم يهتف ساخر من قاض و من ضيح زوجت مع مدرب كراتي,NEG
ملتق تدريب توظيف اول تحت رعاي دكتور عمرو حمزاو معلوم تهم عن مقابل شخصي ناجح كيفي,OBJ
حتي لا ننس,OBJ
لم ادعم مرس قاطعت انتخاب اعتراض علي عدم عزل شفيق عدم محاكمت لكن مرس فائز طبق تقارير قضا مستقل ثور اخلاص حقيق,NEUTRAL
زي نهار طفل لما ينفلت من بين اياد ضلم يشقشق انا شفت روح الحق لما اتسللت صرخت وفي وش خرس انطق عمار فؤاد حجاج,NEG
نامل ان لا يصل,OBJ
ليل طويل فلا تقصر منام نهار قصير اغتنم اعمال قم شار اصنع حيا,OBJ
ضبط مشرف دعاي طبي حوزت قرص مخدر بخاخ مناديل جنسي مركز سوهاج حيث اسفرت جهود امني عن ضبط,OBJ
موقف اخو من جوه رلمانهمشلت لطجي جنيهشريط ترمدولوجباتنتذكر سوا ساد محترم,NEG
لا نريد ان يجعلو نفعل مثل فهم لا دين لهم هم تجار دين تحي مصر سانتخ,NEUTRAL
هل ممكن يكون مرس مختف فتر دي عشان مش اقي شاحن هو راخر اه يادول عكاك,NEG
صدي دقهلي جامع منصور عود مسير مره اخر ميد رابع امام ليه هندس,OBJ
وقت عبدالحليم حافظ,OBJ
متابع انباء من فيوم تفيد دخول سيار نقل ثقيل في سيار الت انت ستقل عامل مصنع غزل نسيج من امام المص,OBJ
عن فرح لمه خروج ضحك سنين غني تصوير اللف عربي شارع صبح خبر عمر مسخر انبساط يوم شيخ,POS
صور مسير ميد تحرير في طريق الي اتحادي,OBJ
عبد ناصر عمل حده مع سوري بدا ياميش سيس هيعمل حده مع اسرائيل بدا طماطم,NEUTRAL
اخر ساع يوم جمع لهم اني اسال عيش سعداء موت شهداء فردوس اعل جنات جنات عدن لهم امين,POS
سبحان يالل وفي ساع مطر تستجيب دعوات عادل,POS
عبار تعشق زوج سماع انا برع يلا تعال,OBJ
دور سيس مرار طافح,NEG
بيت ابيض يقول ان دول اخر قعت يان تحر شان سوري ساد محترم,OBJ
هم عادل مبار اتحاكمو علي ايه,OBJ
زير غلاب اسم عود معتقل ف سجون عسكر لان كل حلم هو تقديم افضل منتج اكرم شعب انا مش رقم انتفاض سجون,NEUTRAL
هاجر نبي الي مدين معه ابو بكر صديق مول ابي بكر عامر بن هير دليل هو عبد الل بن اريقط ليث كان افر نشر سيرت,OBJ
قلم عقب اسبوع من محمد محمود مجد ابطال محمد محمودهتفضل مصر شايل جميل دائم ابد,POS
فاي اسفاف,NEG
تنوي برنامج حبايب حلو جه وقت اينوم كلو يخش اوضتو يندهل حد بير يتفرج علي,OBJ
الل يسر وده معملهمش ريتويت دي تنه عشان ننقسم نعاد بعض العب غير,NEG
نتفق معك في ان رجال يعرف الحق ولا يعرف الحق رجال,POS
سيس يلوم خطاب دين غير مرتبط عصر علي ما لحق من ضرر قطاع سياح في مصر مرس اخو سعودي امار,NEG
رموز قبطي ترفض مقابل هيلار لينت احتجاج علي تدخل ادار امريكي في سياس مصري انحياز تيار اسلامي,OBJ
الحب الل يبق ف نور قدام ربن احل كتر من كلام ف موبايل ليل انك تستخب من اهل,NEUTRAL
مين جاي مؤتمر كره مؤتمر دفاع عن دستور يستعرض مؤتمر اخر مستجد تطور عملي وضع دستور تبعات,OBJ
لا اهاجم مرس اني استكثر علي رئاس بل انه ذاب مخلف وعود وفي رقبت دماء شبابل اسمي خرفا حتي خروف يستح ان يدافع عن ذاب,NEG
قمت اعاد تصنيف ترتيب قائم احل كتب اضفت يها تبا جديد ساقدم مقروء مرئي قبل معرض اذن لهنهار سعيدسلام علي,OBJ
مسار,OBJ
حوارمع رواد ندو حول احوال سياسي راهن لماذ نتظاهر غدا في احياء ذكر ثاني ثور يناير تفاصيل,OBJ
عاجبن ايجابي خايب تاع رفاق طيب خلي ايجاب شوي حنك سياسي اي منظر مش ستريبتيز مجان كده مرار طافح ثور,NEG
